,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
68,"""Heather""",,McCartney,McCartney,1968,I'm gonna fly to the moon Check in outta space Find me a suitable plot Build myself a place There I will stay For a year and a day Until the cares of my life blow away And I will dance to a runcible tune With the queen of my heart Heather
69,"""Hello, Goodbye""",Magical Mystery Tour,McCartney,McCartney,1967,"You say yes, I say no You say stop and I say go go go, oh no You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello I say high, you say low You say why and I say I don't know, oh no You say goodbye and I say hello (Hello goodbye hello goodbye) Hello hello (Hello goodbye) I don't know why you say goodbye, I say hello (Hello goodbye hello goodbye) Hello hello (Hello goodbye) I don't know why you say goodbye (Hello goodbye) I say hello/goodbye Why why why why why why do you say goodbye goodbye, oh no? You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello You say yes (I say yes) I say no (But I may mean no) You say stop (I can stay) and I say go go go (Till it's time to go), oh Oh no You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello hello Hela heba helloa Hela heba helloa, cha cha cha Hela heba helloa, wooo Hela heba helloa, hela Hela heba helloa, cha cha cha Hela heba helloa, wooo Hela heba helloa, cha cah cah"
70,"""Hello Little Girl""",Anthology 1,Lennon,Lennon,1962,"Hello little girl Hello little girl Hello little girl When I see you everyday I say, ""Mm mm hello little girl"" When you're passing on your way I say, ""Mm mm hello little girl"" When I see you passing by I cry, ""Mm mm hello little girl"" When I try to catch your eye I cry, ""Mm mm hello little girl"" I send you flowers but you don't care You never seem to see me standing there I often wonder what you're thinking of I hope it's me and love love love So I hope there'll come a day When you'll say, ""Mm you're my little girl"" It's not the first time that it's happened to me, It's been a long lonely time And it's funny funny to see that I'm about to lose my mind mind mind So I hope there'll come a day When you say, ""Mm mm You're my little girl, mm mm mm You're my little girl, mm mm mm"" You're my little girl, oh yeah You're my little girl Do do do do do"
71,"""Help!""",Help!,Lennon-McCartney,Lennon,1965,"Help! I need somebody Help! Not just anybody Help! You know I need someone Help! (When) When I was younger (When I was young) so much younger than today (I never need) I never needed anybody's help in any way (Now) But now these days are gone (These days are gone) and I'm not so self assured (And now I find) Now I find I've changed my mind, I've opened up the doors Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? (Now) And now my life has changed (My life has changed) in oh so many ways (My independence) My independence seems to vanish in the haze (But) But ev'ry now (Every now and then) and then I feel so insecure (I know that I) I know that I just need you like I've never done before Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? When I was younger, so much younger than today I never needed anybody's help in any way (Now) But now these days are gone (These days are gone) and I'm not so self assured (And now I find) Now I find I've changed my mind, I've opened up the doors Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? Help me, help me Ooh"
72,"""Helter Skelter""",The Beatles,McCartney,McCartney,1968,"When I get to the bottom I go back to the top of the slide Where I stop and I turn and I go for a ride Till I get to the bottom and I see you again Do, don't you want me to love you I'm coming down fast but I'm miles above you Tell me, tell me, tell me, come on tell me the answer Well, you may be a lover but you ain't no dancer Helter skelter, helter skelter Helter skelter Will you, won't you want me to make you I'm coming down fast but don't let me break you Tell me, tell me, tell me the answer You may be a lover but you ain't no dancer Look out Helter skelter, helter skelter Helter skelter Look out, 'cause here she comes When I get to the bottom I go back to the top of the slide And I stop and I turn and I go for a ride And I get to the bottom and I see you again, yeah, yeah Well do you, don't you want me to make you I'm coming down fast but don't let me break you Tell me, tell me, tell me your answer You may be a lover but you ain't no dancer Look out Helter skelter, helter skelter Helter skelter Look out, helter skelter She's coming down fast Yes, she is Yes, she is Coming down fast"
73,"""Her Majesty""",Abbey Road,McCartney,McCartney,1969,"Her Majesty's a pretty nice girl, But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah, Someday I'm going to make her mine."
75,"""Here, There and Everywhere""",Revolver,McCartney,McCartney,1966,"To lead a better life I need my love to be here Here, making each day of the year Changing my life with a wave of her hand Nobody can deny that there's something there There, running my hands through her hair Both of us thinking how good it can be Someone is speaking, but she doesn't know he's there I want her everywhere And if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share Each one believing that love never dies Watching their eyes and hoping I'm always there I want her everywhere And if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share Each one believing that love never dies Watching their eyes and hoping I'm always there I will be there And everywhere Here, there and everywhere"
76,"""Hey Bulldog""",Yellow Submarine,Lennon,"Lennon
 (with McCartney)",1968,"Sheepdog, standing in the rain Bullfrog, doing it again Some kind of happiness is Measured out in miles What makes you think you're Something special when you smile Childlike no one understands Jackknife in your sweaty hands Some kind of innocence is Measured out in years You don't know what it's like To listen to your fears You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me Big man (yeah) walking in the park Wigwam frightened of the dark Some kind of solitude is Measured out in you You think you know me, but you haven't got a clue You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me Hey hey Roar Hey, bulldog (hey bulldog) Woof Hey, bulldog Hey, bulldog Hey, bulldog Hey man Whats up brother? Roof What do ya say I say, roof You know any more? Ah ah (you got it, that's it, you had it) That's it man, wo ho, that's it, you got it Woah Look at me man, I only had ten children Ah ah ah ah ah ah ha ha ha ha Quiet, quiet (ok) Quiet Hey, bulldog, hey bulldog"
77,"""Hey Jude""","UK: 1967–1970
 US: Hey Jude",McCartney,McCartney,1968,"Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Nah nah nah nah nah nah nah nah nah Hey Jude, don't let me down You have found her, now go and get her Remember to let her into your heart Then you can start to make it better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Nah nah nah nah nah nah nah nah nah yeah Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it Better better better better better better, oh Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude"
78,"""Hold Me Tight""","UK: With the Beatles
 US: Meet the Beatles!",Lennon-McCartney,McCartney,1963,"It feels so right now, hold me tight Tell me I'm the only one And then I might Never be the lonely one So hold me tight, tonight, tonight, It's you, you you you oooo oooo Hold me tight Let me go on loving you Tonight tonight Making love to only you So hold me tight, tonight, tonight It's you, you you you oooo oooo Don't know what it means to hold you tight Being here alone tonight with you It feels so right now, feels so right now Hold me tight Tell me I'm the only one And then I might Never be the lonely one So hold me tight, tonight, tonight It's you, you you you oooo oooo Don't know what it means to hold you tight Being here alone tonight with you It feels so right now, feels so right now Hold me tight Let me go on loving you Tonight, tonight Making love to only you So hold me tight, tonight, tonight It's you, you you you oooo oooo You oooo"
79,"""Honey Pie""",The Beatles,McCartney,McCartney,1968,"She was a working girl North of England way Now she's hit the big time In the U.S.A. And if she could only hear me This is what I'd say. Honey pie, you are making me crazy I'm in love but I'm lazy So won't you please come home. Oh honey pie, my position is tragic Come and show me the magic Of your Hollywood song. You became a legend of the silver screen And now the thought of meeting you Makes me weak in the knee. Oh honey pie, you are driving me frantic Sail across the Atlantic To be where you belong. Will the wind that blew her boat Across the sea Kindly send her sailing back to me. Honey pie, you are making me crazy I'm in love but I'm lazy So won't you please come home."
80,"""I Am the Walrus""",Magical Mystery Tour,Lennon,Lennon,1967,"I am he as you are he as you are me And we are all together See how they run like pigs from a gun See how they fly I'm crying Sitting on a corn flake Waiting for the van to come Corporation T-shirt, stupid bloody Tuesday Man you've been a naughty boy You let your face grow long I am the egg man They are the egg men I am the walrus Goo goo g'joob Mr. City policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I'm crying I'm crying, I'm crying, I'm crying Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife, pornographic priestess Boy, you've been a naughty girl You let your knickers down I am the egg man They are the egg men I am the walrus Goo goo g'joob Sitting in an English garden Waiting for the sun If the sun don't come you get a tan From standing in the English rain I am the egg man (How do you do sir?) They are the egg men (The man maintains a fortune) I am the walrus Goo goo g'joob, goo goo goo g'joob Expert, texpert choking smokers Don't you think the joker laughs at you (Ho ho ho, hee hee hee, hah hah hah) See how they smile like pigs in a sty See how they snide I'm crying Semolina Pilchard Climbing up the Eiffel tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allen Poe I am the egg man They are the egg men I am the walrus Goo goo g'joob, goo goo goo g'joob Goo goo g'joob, goo goo goo g'joob, goo goo"
81,"""I Call Your Name""","UK: ""Long Tall Sally"" EP
 US: The Beatles' Second Album",Lennon,Lennon,1964,"I call your name but you're not there Was I to blame for being unfair Oh, I can't sleep at night Since you've been gone I never weep at night I can't go on Don't you know I can't take it I don't know who can I'm not going to make it I'm not that kind of man Oh, I can't sleep at night But just the same I never weep at night I call your name Don't you know I can't take it I don't know who can I'm not going to make it I'm not that kind of man Oh, I can't sleep at night But just the same I never weep at night I call your name I call your name I call your name I call your name"
82,"""I Don't Want to Spoil the Party""","UK: Beatles for Sale
 US: Beatles VI",Lennon,"Lennon, with McCartney",1964,"I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here so I will disappear, If she turns up while I'm gone please let me know. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong I've waited far too long, I think I'll take a walk and look for her. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here so I will disappear, If she turns up while I'm gone please let me know. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong I've waited far too long, I think I'll take a walk and look for her."
83,"""I Feel Fine""","UK: A Collection of Beatles Oldies
 US: Beatles '65",Lennon,Lennon,1964,"Baby's good to me, you know She's happy as can be, you know She said so I'm in love with her and I feel fine Baby says she's mine, you know She tells me all the time, you know She said so I'm in love with her and I feel fine I'm so glad that she's my little girl She's so glad, she's telling all the world That here baby buys her things, you know He buys her diamond rings, you know She said so She's in love with me and I feel fine Baby says she's mine, you know She tells me all the time, you know She said so I'm in love with her and I feel fine I'm so glad that she's my little girl She's so glad, she's telling all the world That her baby buys her things, you know He buys her diamond rings, you know She said so She's in love with me and I feel fine She's in love with me and I feel fine"
84,"""I Lost My Little Girl""",,McCartney,Lennon,1962,"Well, I woke up late this morning My head was in a whirl Only then I realized I lost my little girl Oh, oh, oh, oh Well, her clothes were not expensive Her hair didn't always curl I don't know why I love her But I love my little girl Oh, oh, oh, oh Well, gather 'round people Let me tell you the story The very first song I wrote Well, gather 'round people Let me tell you the story The very first song I wrote I woke up late this morning My head was in a whirl Only then I realized I lost my little girl Oh, oh, oh, oh, I said"
87,"""I Saw Her Standing There""","UK: Please Please Me
 US: Meet the Beatles!",Lennon-McCartney,"McCartney
 (with Lennon)",1963,"Well she was just seventeen You know what I mean And the way she looked Was way beyond compare So how could I dance with another, Oh, when I saw her standing there Well she looked at me And I, I could see That before too long I'd fall in love with her She wouldn't dance with another Oh, when I saw her standing there Well my heart went boom When I crossed that room And I held her hand in mine Oh we danced through the night And we held each other tight And before too long I fell in love with her Now I'll never dance with another Oh, when I saw her standing there Well my heart went boom When I crossed that room And I held her hand in mine Oh we danced through the night And we held each other tight And before too long I fell in love with her Now I'll never dance with another Oh, when I saw her standing there Oh, since I saw her standing there Yeah, well since I saw her standing there"
88,"""I Should Have Known Better""",UK: A Hard Day's Night,Lennon,Lennon,1964,"I should have known better with a girl like you That I would love everything that you do And I do, hey, hey, hey, and I do Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see That when I tell you that I love you, oh You're gonna say you love me, too, oh And when I ask you to be mine You're gonna say you love me, too So oh, I should realized a lot of things before If this is love you've got to give me more Give me more, hey hey hey, give me more Whoa, oh, I never realized what a kiss could be This could only happen to me Can't you see, can't you see That when I tell you that I love you, oh You're gonna say you love me, too, oh And when I ask you to be mine You're gonna say you love me, too You love me, too, you love me, too, you love me, too"
89,"""I Wanna Be Your Man""","UK: With the Beatles
 US: Meet the Beatles!",Lennon-McCartney,Starr,1963,"I want to be your lover baby,  I want to be your man,  I want to be your lover baby,  I want to be your man.  Love you like no other baby,  Like no other can,  Love you like no other baby,  Like no other can. I want to be your man, I want to be your man,  I want to be your man, I want to be your man. Tell me that you love me baby,  Let me understand,  Tell me that you love me baby,  I want to be your man.  I want to be your lover baby,  I want to be your man,  I want to be your lover baby,  I want to be your man. I want to be your man, I want to be your man,  I want to be your man, I want to be your man. I want to be your lover baby,  I want to be your man,  I want to be your lover baby,  I want to be your man.  Love you like no other baby,  Like no other can,  Love you like no other baby,  Like no other can. I want to be your man, I want to be your man,  I want to be your man, I want to be your man.  I want to be your man, I want to be your man."
90,"""I Want to Hold Your Hand""","UK: A Collection of Beatles Oldies
 US: Meet the Beatles!",Lennon-McCartney,"Lennon
 McCartney",1963,"Oh yeah I tell you somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand Oh please say to me You'll let me be your man And please say to me You'll let me hold your hand Now, let me hold your hand I want to hold your hand And when I touch you I feel happy inside It's such a feelin' that my love I can't hide I can't hide I can't hide Yeah, you got that somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand And when I touch you I feel happy inside It's such a feelin' that my love I can't hide I can't hide I can't hide Yeah, you got that somethin' I think you'll understand When I feel that somethin' I want to hold your hand I want to hold your hand I want to hold your hand I want to hold your hand"
92,"""I Want You (She's So Heavy)""",Abbey Road,Lennon,Lennon,1969,"I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad I want you I want you so bad, babe I want you I want you so bad It's driving me mad It's driving me mad I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad I want you I want you so bad, babe I want you I want you so bad It's driving me mad It's driving me mad She's so heavy Heavy, heavy, heavy, heavy I want you I want you so bad I want you I want you so bad It's driving me mad It's driving me mad I want you I want you so bad, babe I want you You know I want you so bad It's driving me mad It's driving me mad Yeah, she's so heavy"
93,"""I Will""",The Beatles,McCartney,McCartney,1968,Who knows how long I've loved you You know I love you still Will I wait a lonely lifetime If you want me to-- I will. For if I ever saw you I didn't catch your name But it never really mattered I will always feel the same. Love you forever and forever Love you with all my heart Love you whenever we're together Love you when we're apart. And when at last I find you Your song will fill the air Sing it loud so I can hear you Make it easy to be near you For the things you do endear you to me You know I will I will.
94,"""If I Fell""","UK: A Hard Day's Night
 US: Something New",Lennon,"Lennon
 (with McCartney)",1964,If I fell in love with you Would you promise to be true And help me understand 'Cause I've been in love before And I found that love was more Than just holding hands If I give my heart to you I must be sure From the very start That you would love me more than her If I trust in you oh please Don't run and hide If I love you too oh please Don't hurt my pride like her 'Cause I couldn't stand the pain And I would be sad if our new love was in vain So I hope you see that I Would love to love you And that she will cry When she learns we are two 'Cause I couldn't stand the pain And I would be sad if our new love was in vain So I hope you see that I Would love to love you And that she will cry When she learns we are two If I fell in love with you
96,"""If You've Got Trouble""",Anthology 2,Lennon-McCartney,Starr,1965,"If you've got trouble Then you got less trouble than me You say you're worried You can't be as worried as me (Oh oh) You're quite contend to be bad With all the vantage you had over me Just cause you're trouble And don't bring your troubles to me I don't think it's funny When you ask for money and things Especially when you're standing there Wearing diamond and rings (Oh oh) You think I'm soft in the head Well try someone softer instead anything It's not so funny When you know what money can bring You better leave me alone I don't need a thing from you You better take yourself home Go and count a ring or two If you've got trouble Then you got less trouble than me You say you're worried You can't be as worried as me You're quite contend to be bad With all the vantage you had over me Just cause you're trouble And don't bring your troubles to me (Ah rock on, anybody.) You better leave me alone, I don't need a thing from you You better take yourself home Go and count a ring or two If you've got trouble Then you got less trouble than me You say you're worried You can't be as worried as me (Oh oh) You're quite contend to be bad With all the vantage you had over me Just cause you're trouble And don't bring your troubles to me Just cause you're trouble And don't bring your troubles to me"
97,"""I'll Be Back""","UK: A Hard Day's Night
 US: Beatles '65",Lennon,Lennon and McCartney),1964,"You know if you break my heart I'll go But I'll be back again Cos I told you once before goodbye But I came back again I love you so I'm the one who wants you Yes, I'm the one Who wants you, oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I thought that you would realize That if I ran away from you That you would want me too But I got a big surprise Oh ho, oh ho, oh You could find better things to do Than to break my heart again This time I will try to show that I'm Not trying to pretend I wanna go but I hate to leave you, You know I hate to leave you , oh ho, oh ho, oh You, if you break my heart I'll go But I'll be back again"
98,"""I'll Be on My Way""",Live at the BBC,McCartney,Lennon,1963,The sun is fading away That's the end of the day As the June light turns to moonlight I'll be on my way Just one kiss and I'll go Don't hide the tears that don't show As the June light turns to moonlight I'll be on my way To where the winds don't blow And golden rivers flow This way will I go They were right I was wrong True love didn't last long As the June light turns to moonlight I'll be on my way hey To where the winds don't blow And golden rivers flow This way will I go They were right I was wrong True love didn't last long As the June light turns to moonlight I'll be on my way hey I'll be on my way oh I'll be on my way oh I'll be on my way (fade out)
99,"""I'll Cry Instead""","UK: A Hard Day's Night
 US: Something New",Lennon,Lennon,1964,"I've got every reason on earth to be mad 'Cause I just lost the only girl I had If I could get my way I'd get myself locked up today But I can't, so I'll cry instead I've got a chip on my shoulder that's bigger that my feet I can't talk to people that I meet If I could see you now I'd try to make you sad somehow But I can't, so I'll cry instead Don't want to cry when there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday And when you do you'd better hide all the girls I'm gonna break their hearts all round the world Yes, I'm gonna break them in two And show you what your lovin' man can do Until then I'll cry instead"
100,"""I'll Follow the Sun""","UK: Beatles for Sale
 US: Beatles '65",McCartney,"McCartney
 (with Lennon)",1964,"One day, you'll look To see I've gone But tomorrow may rain, so I'll follow the sun One day, you'll know I was the one But tomorrow may rain, so I'll follow the sun And now the time has come And so, my love, I must go And though I lose a friend In the end you will know Oh-oh-oh One day, you'll find That I have gone But tomorrow may rain, so I'll follow the sun And now the time has come And so, my love, I must go And though I lose a friend In the end you will know Oh-oh-oh One day, you'll find That I have gone But tomorrow may rain, so I'll follow the sun"
101,"""I'll Get You""","UK: Past Masters Volume 1
 US: The Beatles' Second Album",Lennon-McCartney,"Lennon
 (with McCartney)",1963,"Oh yeah, oh yeah, oh yeah, oh yeah Imagine I'm in love with you It's easy 'cause I know I've imagined I'm in love with you Many, many, many times before It's not like me to pretend But I'll get you, I'll get you in the end Yes I will, I'll get you in the end Oh yeah, oh yeah I think about you night and day I need you and it's true When I think about you I can say I'm never, never, never, never blue So I'm telling you my friend That I'll get you, I'll get you in the end Yes I will, I'll get you in the end Oh yeah, oh yeah Well, there's gonna be a time When I'm gonna change your mind So you might as well resign yourself to me, oh yeah Imagine I'm in love with you It's easy 'cause I know I've imagined I'm in love with you Many, many, many times before It's not like me to pretend But I'll get you, I'll get you in the end Yes I will, I'll get you in the end Oh yeah, oh yeah, oh yeah, oh yeah, whoa yeah"
102,"""I'm a Loser""","UK: Beatles for Sale
 US: Beatles '65",Lennon,Lennon,1964,"I'm a loser I'm a loser And I'm not what I appear to be Of all the love I have won, and have lost There is one love I should never have crossed She was a girl in a million my friend I should have known she would win in the end I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be Although I laugh and I act like a clown Beneath this mask I am wearing a frown My tears are falling like rain from the sky Is it for her or myself that I cry? I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be What have I done to deserve such a fate? I realize I have left it too late And so it's true pride comes before a fall I'm telling you so that you won't lose all I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be"
103,"""I'm Down""",Rock 'n' Roll Music,McCartney,McCartney,1965,"You tell lies thinking I can't see You can't cry 'cause you're laughing at me I'm down (I'm really down) I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down (How can you laugh) When you know I'm down Man buys ring woman throws it away Same old thing happens everyday I'm down (I'm really down) I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down (How can you laugh) When you know I'm down We're all alone and there's nobody else You still moan, ""Keep your hands to yourself!"" I'm down (I'm really down) Oh baby, I'm down (Down on the ground) I'm down (I'm really down) How can you laugh when you know I'm down (How can you laugh) When you know I'm down, wow Baby I'm down Oh baby, you know I'm down (I'm really down) Oh yes, I'm down (I'm really down) I'm down on the ground (I'm really down) Ah, Down (I'm really down) Oh baby, I'm upside down, a yeah, yeah, yeah, yeah, yeah I'm down (I'm really down) Oh baby, I'm down (I'm really down) I'm feeling upside down (I'm really down) Oh, I'm down (I'm really down) Baby, I'm down, yeah Oh baby, I'm down, yeah Baby I'm down (I'm really down) Well, baby I'm down (I'm really down) Well, baby, baby, baby (I'm really down) Oh baby, I'm down I'm down, down, down"
104,"""I'm Happy Just to Dance with You""","UK: A Hard Day's Night
 US: Something New",Lennon-McCartney,Harrison,1964,"Before this dance is through I think I'll love you, too I'm so happy when you dance with me I don't wanna kiss or hold your hand If it's funny try and understand There is really nothing else I'd rather do 'Cause I'm happy just to dance with you I don't need to hug or hold you tight I just wanna dance with you all night In this world there's nothing I would rather do 'Cause I'm happy just to dance with you Just to dance with you Is everything I need Before this dance is through I think I'll love you, too I'm so happy when you dance with me If somebody tries to take my place Let's pretend we just can't see his face In this world there's nothing I would rather do 'Cause I'm happy just to dance with you Just to dance with you Is everything I need Before this dance is through I think I'll love you, too I'm so happy when you dance with me If somebody tries to take my place Let's pretend we just can't see his face In this world there's nothing I would rather do I discovered I'm in love with you 'Cause I'm happy just to dance with you"
105,"""I'm In Love""",The Beatles Bootleg Recordings 1963,Lennon,Lennon,1963,"I've got something to tell you, I'm in love, I've been longing to tell you, I'm in love, You'll believe me, when I tell you, I'm in love with you. You're my kind of girl, you make me feel pround, you make me want to shout aloud, yes, I, m telling all my friends, I'm in love. Ev'ry night I can't sleep, thinking of you, and ev'ry little thing that you do, yes, I'm telling all my friends, I, m in love. Oh yeh, I'm sittin' on the top of the world, I'm in love with a wonderful girl, and I never felt so good befopre, if this is love, give me more, more, more. Ev'ry night I can't sleep, thinking of you, and ev'ry little thing that you do, yes, I'm telling all my friends, I, m in love. Yes, I'm telling all my friends, I'm in love, in love. Yes, I'm telling all my friends, I'm in love."
106,"""I'm Looking Through You""",Rubber Soul,McCartney,"McCartney
 (with Lennon)",1965,"I'm looking through you, where did you go  I thought I knew you, what did I know You don't look different, but you have changed  I'm looking through you, you're not the same Your lips are moving, I cannot hear Your voice is soothing, but the words aren't clear You don't sound different, I've learned the game I'm looking through you, you're not the same Why, tell me why, did you not treat me right?  Love has a nasty habit of disappearing overnight You're thinking of me the same old way You were above me, but not today The only difference is you're down there I'm looking through you and you're nowhere Why, tell me why, did you not treat me right?  Love has a nasty habit of disappearing overnight I'm looking through you, where did you go  I thought I knew you, what did I know  You don't look different, but you have changed I'm looking through you, you're not the same"
107,"""I'm Only Sleeping""","UK: Revolver
 US: Yesterday and Today",Lennon,Lennon,1966,"When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float up stream (Float up stream) Please, don't wake me, no, don't shake me Leave me where I am, I'm only sleeping Everybody seems to think I'm lazy I don't mind, I think they're crazy Running everywhere at such a speed Till they find there's no need (There's no need) Please, don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time Lying there and staring at the ceiling Waiting for a sleepy feeling... Please, don't spoil my day, I'm miles away And after all I'm only sleeping Ooh yeah Keeping an eye on the world going by my window Taking my time When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float up stream (Float up stream) Please, don't wake me, no, don't shake me Leave me where I am, I'm only sleeping"
108,"""I'm So Tired""",The Beatles,Lennon,Lennon,1968,"I'm so tired, I haven't slept a wink I'm so tired, my mind is on the blink I wonder should I get up and fix myself a drink No, no, no I'm so tired, I don't know what to do I'm so tired, my mind is set on you I wonder should I call you but I know what you would do You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind I'm so tired, I'm feeling so upset Although I'm so tired, I'll have another cigarette And curse Sir Walter Raleigh He was such a stupid get You'd say I'm putting you on But it's no joke, it's doing me harm You know I can't sleep, I can't stop my brain You know it's three weeks, I'm going insane You know I'd give you everything I've got For a little peace of mind I'd give you everything I've got For a little peace of mind I'd give you everything I've got For a little peace of mind"
109,"""In My Life""",Rubber Soul,Lennon-McCartney,Lennon,1965,There are places I remember All my life though some have changed Some forever not for better Some have gone and some remain All these places have their moments With lovers and friends I still can recall Some are dead and some are living In my life I've loved them all But of all these friends and lovers There is no one compares with you And these memories lose their meaning When I think of love as something new Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I love you more Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I love you more In my life I love you more
112,"""It Won't Be Long""","UK: With the Beatles
 US: Meet the Beatles!",Lennon-McCartney,Lennon,1963,"It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you Every night when everybody has fun Here am I sitting all on my own It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you Since you left me, I'm so alone Now you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home Every night the tears come down from my eyes Every day I've done nothing but cry It won't be long yeah, yeah, yeah It won't be long yeah, yeah, yeah It won't be long yeah, till I belong to you Since you left me, I'm so alone Now you're coming, you're coming on home I'll be good like I know I should You're coming home, you're coming home So every day we'll be happy I know Now I know that you won't leave me no more It won't be long yeah, yeah, yeah It won't be long yeah, yeah It won't be long yeah, till I belong to you, woo"
114,"""It's Only Love""","UK: Help!
 US: Rubber Soul",Lennon,Lennon,1965,"I get high when I see you go by, (my oh my) When you sigh my inside just flies, (butterflies) Why am I so shy when I'm beside you It's only love and that is all, Why should I feel the way I do It's only love and that is all, But it's so hard loving you Is it right that you and I should fight, (every night) Just the sight of you makes nighttime bright, (very bright) Haven't I the right to make it up girl It's only love and that is all, Why should I feel the way I do It's only love and that is all, But it's so hard loving you Yes it's so hard loving you Loving you"
